country,country_code,indicator_code,indicator_name,year,value
Spain,ESP,SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)",2016,15.6144715937314
Spain,ESP,SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)",2015,15.688030863231
Spain,ESP,SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)",2023,67.7501916253123
Spain,ESP,SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)",2022,67.842683869803
Spain,ESP,SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)",2021,67.8701985663406
Spain,ESP,SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)",2020,67.8099417555248
Spain,ESP,SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)",2019,67.726176522085
Spain,ESP,SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)",2018,67.6907629185488
Spain,ESP,SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)",2017,67.7626166933416
Spain,ESP,SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)",2016,67.9094312877842
Spain,ESP,SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)",2015,68.0691654991676
Spain,ESP,SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)",2023,18.3497737999828
Spain,ESP,SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)",2022,17.9050389940406
Spain,ESP,SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)",2021,17.5521114112535
Spain,ESP,SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)",2020,17.3073622993826
Spain,ESP,SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)",2019,17.1299161451072
Spain,ESP,SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)",2018,16.9414309445933
Spain,ESP,SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)",2017,16.7146072501789
Spain,ESP,SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)",2016,16.4760971184844
Spain,ESP,SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)",2015,16.2428036376014
Spain,ESP,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)",2023,12.6399568690995
Spain,ESP,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)",2022,12.9626540641425
Spain,ESP,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)",2021,13.2623573299282
Spain,ESP,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)",2020,13.5401126190025
Spain,ESP,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)",2019,13.7777594184871
Spain,ESP,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)",2018,13.9876169331337
Spain,ESP,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)",2017,14.1417886155527
Spain,ESP,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)",2016,14.2443381628358
Spain,ESP,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)",2015,14.3266928694323
Spain,ESP,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2023,64.4839070205644
Spain,ESP,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2022,64.6467689497188
Spain,ESP,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2021,64.7420898876381
Spain,ESP,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2020,64.7264588627438
Spain,ESP,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2019,64.6664960606097
Spain,ESP,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2018,64.6265830665574
Spain,ESP,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2017,64.6631019157352
Spain,ESP,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2016,64.7702261909056
Spain,ESP,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2015,64.902920001917
Spain,ESP,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2023,22.8761361103361
Spain,ESP,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2022,22.3905769861387
